beta-Stigmastanol	Isopropylbenzene Qualifier	Isoborneol Qualifier	N,N-diethyl-meta-toluamide (DEET)	Cholesterol Qualifier	Naphthalene Qualifier	Diethyhexylphthalate Qualifier	Prometon Qualifier	Bromacil Qualifier	Isophorone	Diazinon	Tributyl phosphate (TBP) Qualifier	Isoquinoline	Isoquinoline Qualifier	Tris (2-chloro-ethyl) phosphate (TCEP)	Nonylphenol mono_ethoxylate (NP1EO) Qualifier	Site code	Tris (2-chloro-ethyl) phosphate (TCEP) Qualifier	Region	para-Nonylphenol	Octylphenol diethoxylate (OP2EO)	4-Cumylphenol	Cholesterol	Diazinon Qualifier	Anthra_quinone	Benzophenone	Isoborneol	Diethylphthalate	4-n-Octylphenol	Tris (2-butoxy-ethyl) phosphate (TBEP) Qualifier	N,N-diethyl-meta-toluamide (DEET) Qualifier	Anthracene	Octylphenol mono_ethoxylate (OP1EO) Qualifier	2,6-Dimethylnaphthalene Qualifier	Menthol	Bisphenol A	4-tert-Octylphenol	Octylphenol mono_ethoxylate (OP1EO)	para-Cresol	1-Methylnaphthalene	Sample time	Octylphenol diethoxylate (OP2EO) Qualifier	Atrazine	Prometon	Benzophenone Qualifier	para-Cresol Qualifier	2,6-Dimethylnaphthalene	2-Methylnaphthalene Qualifier	Carbazole Qualifier	Metolachlor	Triclosan	Naphthalene	Pyrene	d-Limonene Qualifier	Fluoranthene Qualifier	Isopropylbenzene	Nonylphenol mono_ethoxylate (NP1EO)	Map location number	Acetophenone Qualifier	Benzo[a]pyrene	3-tert-butyl-4-hydroxyanisole Qualifier	4-n-Octylphenol Qualifier	Diethyhexylphthalate	d-Limonene	4-tert-Octylphenol Qualifier	Triclosan Qualifier	Galaxolide (HHCB)	Indole	Menthol Qualifier	Tonalide (AHTN)	Carbazole	Fluoranthene	1,4- Dichlorobenzene Qualifier	Nonylphenol diethoxylate (NP2EO) Qualifier	Anthra_quinone Qualifier	Phenol	Bisphenol A Qualifier	para-Nonylphenol Qualifier	Nonylphenol diethoxylate (NP2EO)	Phenol Qualifier	Tris (dichloro-isopropyl) phosphate (TDCP)	Tonalide (AHTN) Qualifier	beta-Sitosterol	beta-Sitosterol Qualifier	Camphor Qualifier	Diethylphthalate Qualifier	3-methyl-1h-Indole Qualifier	Acetophenone	Bromacil	3-methyl-1h-Indole	Tetrabromodiphenyl ether Qualifier	Triphenyl phosphate (TPP)	1-Methylnaphthalene Qualifier	Benzo[a]pyrene Qualifier	Isophorone Qualifier	2-Methylnaphthalene	Tributyl phosphate (TBP)	Phenanthrene Qualifier	Pyrene Qualifier	Tris (dichloro-isopropyl) phosphate (TDCP) Qualifier	Chlorpyrifos	Metolachlor Qualifier	Galaxolide (HHCB) Qualifier	4-Cumylphenol Qualifier	Chlorpyrifos Qualifier	3-beta-Coprostanol Qualifier	Indole Qualifier	Tris (2-butoxy-ethyl) phosphate (TBEP)	3-beta-Coprostanol	Phenanthrene	beta-Stigmastanol Qualifier	Sample date	Tetrabromodiphenyl ether	Camphor	Anthracene Qualifier	Triphenyl phosphate (TPP) Qualifier	1,4- Dichlorobenzene	3-tert-butyl-4-hydroxyanisole	Atrazine Qualifier
680.0	Less than minimum reporting limit	Less than minimum reporting limit	140.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	68.0	68.0	Less than minimum reporting limit	140.0	Less than minimum reporting limit	140.0	Less than minimum reporting limit	BB10	Less than minimum reporting limit	Barnegat Bay	1000.0	68.0	68.0	1300.0	Less than minimum reporting limit	41.6	68.0	68.0	140.0	68.0	Less than minimum reporting limit	Less than minimum reporting limit	20.4	Less than minimum reporting limit	Detected but not quantified	68.0	68.0	68.0	340.0	63.1	68.0	1100	Less than minimum reporting limit	140.0	68.0	Less than minimum reporting limit		0.0	Less than minimum reporting limit		68.0	68.0	68.0	120.0	Less than minimum reporting limit		140.0	680.0	23	Less than minimum reporting limit	44.3	Less than minimum reporting limit	Less than minimum reporting limit	340.0	68.0	Less than minimum reporting limit	Less than minimum reporting limit	68.0	81.2	Less than minimum reporting limit	68.0	13.8	145.0	Detected but not quantified	Less than minimum reporting limit		68.0	Less than minimum reporting limit	Less than minimum reporting limit	1400.0	Less than minimum reporting limit	140.0	Less than minimum reporting limit	888.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Detected but not quantified	200.0	680.0	0.0	Less than minimum reporting limit	68.0	Less than minimum reporting limit		Less than minimum reporting limit	68.0	68.0			Less than minimum reporting limit	68.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		200.0	680.0	111.0	Less than minimum reporting limit	7/24/13	68.0	68.0		Less than minimum reporting limit	0.0	200.0	Less than minimum reporting limit
670.0	Less than minimum reporting limit	Less than minimum reporting limit	0.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	0.0	67.0	Less than minimum reporting limit	130.0	Less than minimum reporting limit	130.0	Less than minimum reporting limit	BB11	Less than minimum reporting limit	Barnegat Bay	1000.0	67.0	67.0	740.0	Less than minimum reporting limit	16.0	67.0	67.0	130.0	67.0	Less than minimum reporting limit	Detected but not quantified	0.0	Less than minimum reporting limit		67.0	67.0	67.0	330.0	81.7	67.0	1615	Less than minimum reporting limit	130.0	67.0	Less than minimum reporting limit		15.5	Less than minimum reporting limit	Less than minimum reporting limit	67.0	67.0	67.0	18.0	Less than minimum reporting limit		130.0	670.0	24	Less than minimum reporting limit	0.0	Less than minimum reporting limit	Less than minimum reporting limit	330.0	67.0	Less than minimum reporting limit	Less than minimum reporting limit	67.0	72.2	Less than minimum reporting limit	67.0	67.0	19.4	Detected but not quantified	Less than minimum reporting limit		120.0	Less than minimum reporting limit	Less than minimum reporting limit	1300.0	Less than minimum reporting limit	130.0	Less than minimum reporting limit	878.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit		200.0	670.0	10.6	Less than minimum reporting limit	67.0	Less than minimum reporting limit	Detected but not quantified	Detected but not quantified	67.0	67.0	Less than minimum reporting limit		Less than minimum reporting limit	67.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		200.0	670.0	67.0	Less than minimum reporting limit	7/29/13	67.0	67.0	Detected but not quantified	Less than minimum reporting limit	0.0	200.0	Less than minimum reporting limit
480.0	Less than minimum reporting limit	Less than minimum reporting limit	0.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	0.0	48.0	Less than minimum reporting limit	96.0	Less than minimum reporting limit	96.0	Less than minimum reporting limit	BB13	Less than minimum reporting limit	Barnegat Bay	720.0	48.0	48.0	743.0	Less than minimum reporting limit	10.7	48.0	48.0	96.0	48.0	Less than minimum reporting limit	Detected but not quantified	0.0	Less than minimum reporting limit		48.0	48.0	48.0	240.0	45.1	48.0	1330	Less than minimum reporting limit	96.0	48.0	Less than minimum reporting limit		21.9	Less than minimum reporting limit	Less than minimum reporting limit	48.0	48.0	48.0	26.5	Less than minimum reporting limit		96.0	480.0	25	Less than minimum reporting limit	14.8	Less than minimum reporting limit	Less than minimum reporting limit	240.0	48.0	Less than minimum reporting limit	Less than minimum reporting limit	48.0	77.7	Less than minimum reporting limit	48.0	48.0	26.6	Detected but not quantified	Less than minimum reporting limit		48.0	Less than minimum reporting limit	Less than minimum reporting limit	960.0	Less than minimum reporting limit	96.0	Less than minimum reporting limit	591.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Detected but not quantified	140.0	480.0	0.0	Less than minimum reporting limit	48.0	Less than minimum reporting limit		Detected but not quantified	48.0	48.0			Less than minimum reporting limit	48.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		140.0	480.0	17.6	Less than minimum reporting limit	7/29/13	48.0	48.0	Detected but not quantified	Less than minimum reporting limit	0.0	140.0	Less than minimum reporting limit
550.0	Less than minimum reporting limit	Less than minimum reporting limit	110.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	19.8	55.0	Less than minimum reporting limit	110.0	Less than minimum reporting limit	110.0	Less than minimum reporting limit	MANA1	Less than minimum reporting limit	Barnegat Bay	830.0	55.0	55.0	2120.0	Less than minimum reporting limit	76.8	55.0	55.0	110.0	55.0	Less than minimum reporting limit	Less than minimum reporting limit	325.0	Less than minimum reporting limit		55.0	55.0	55.0	280.0	337.0	55.0	1130	Less than minimum reporting limit	110.0	55.0	Less than minimum reporting limit		94.3			55.0	55.0	90.0	430.0	Less than minimum reporting limit		110.0	550.0	26	Less than minimum reporting limit	232.0	Less than minimum reporting limit	Less than minimum reporting limit	280.0	55.0	Less than minimum reporting limit	Less than minimum reporting limit	55.0	193.0	Less than minimum reporting limit	55.0	77.2	452.0	Detected but not quantified	Less than minimum reporting limit		207.0	Less than minimum reporting limit	Less than minimum reporting limit	1100.0	Estimated value	110.0	Less than minimum reporting limit	1020.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit		170.0	550.0	17.6	Less than minimum reporting limit	55.0	Less than minimum reporting limit		Estimated value	49.1	55.0			Less than minimum reporting limit	55.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		170.0	550.0	235.0	Less than minimum reporting limit	8/8/13	55.0	55.0		Less than minimum reporting limit	0.0	170.0	Less than minimum reporting limit
1600.0	Less than minimum reporting limit	Less than minimum reporting limit	320.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	129.0	160.0	Less than minimum reporting limit	320.0	Less than minimum reporting limit	320.0	Less than minimum reporting limit	MANA2	Less than minimum reporting limit	Barnegat Bay	2400.0	160.0	160.0	1900.0	Less than minimum reporting limit	217.0	160.0	160.0	320.0	160.0	Less than minimum reporting limit	Less than minimum reporting limit	186.0	Less than minimum reporting limit		160.0	58.0	160.0	810.0	329.0	160.0	1300	Less than minimum reporting limit	320.0	160.0	Less than minimum reporting limit		85.1	Less than minimum reporting limit		160.0	160.0	160.0	790.0	Less than minimum reporting limit		320.0	1600.0	27	Estimated value	376.0	Less than minimum reporting limit	Less than minimum reporting limit	810.0	160.0	Less than minimum reporting limit	Less than minimum reporting limit	160.0	279.0	Less than minimum reporting limit	160.0	56.4	618.0	Detected but not quantified	Less than minimum reporting limit		980.0	Estimated value	Less than minimum reporting limit	3200.0	Less than minimum reporting limit	320.0	Less than minimum reporting limit	2000.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		210.0	1600.0	28.8	Less than minimum reporting limit	160.0	Less than minimum reporting limit		Estimated value	160.0	160.0			Less than minimum reporting limit	160.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		480.0	1600.0	176.0	Less than minimum reporting limit	8/13/13	160.0	160.0		Less than minimum reporting limit	0.0	480.0	Less than minimum reporting limit
2030.0	Less than minimum reporting limit	Less than minimum reporting limit	270.0	Estimated value		Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	17.8	140.0	Less than minimum reporting limit	270.0	Less than minimum reporting limit	270.0	Less than minimum reporting limit	NOAA3	Less than minimum reporting limit	Barnegat Bay	2000.0	140.0	140.0	2030.0	Less than minimum reporting limit	119.0	140.0	140.0	270.0	140.0	Missing data	Less than minimum reporting limit	80.5	Less than minimum reporting limit		140.0	140.0	140.0	680.0	531.0	140.0	1120	Less than minimum reporting limit	270.0	140.0	Less than minimum reporting limit		106.0	Less than minimum reporting limit		140.0	140.0	65.8	370.0	Less than minimum reporting limit		270.0	1400.0	28	Less than minimum reporting limit	91.9	Less than minimum reporting limit	Less than minimum reporting limit	680.0	140.0	Less than minimum reporting limit	Less than minimum reporting limit	140.0	930.0	Less than minimum reporting limit	140.0	48.3	360.0	Detected but not quantified	Less than minimum reporting limit		750.0	Less than minimum reporting limit	Less than minimum reporting limit	2700.0	Less than minimum reporting limit		Less than minimum reporting limit	3600.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit		410.0	1400.0	98.0	Less than minimum reporting limit	140.0	Less than minimum reporting limit		Estimated value	140.0	140.0			Missing data	140.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit			1400.0	96.4	Estimated value	8/26/13	140.0	140.0		Less than minimum reporting limit	0.0	410.0	Less than minimum reporting limit
1270.0	Less than minimum reporting limit	Less than minimum reporting limit	140.0	Estimated value		Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	21.6	72.0	Less than minimum reporting limit	140.0	Less than minimum reporting limit	140.0	Less than minimum reporting limit	NOAA3	Less than minimum reporting limit	Barnegat Bay	445.0	72.0	72.0	1720.0	Less than minimum reporting limit	64.0	72.0	72.0	140.0	72.0	Missing data	Less than minimum reporting limit	44.0	Less than minimum reporting limit		72.0	72.0	72.0	360.0	179.0	72.0	1140	Less than minimum reporting limit	140.0	72.0	Less than minimum reporting limit		59.6	Less than minimum reporting limit		72.0	72.0	30.3	160.0	Less than minimum reporting limit		140.0	720.0	28	Estimated value	42.0	Less than minimum reporting limit	Less than minimum reporting limit	360.0	72.0	Less than minimum reporting limit	Less than minimum reporting limit	72.0	434.0	Less than minimum reporting limit	72.0	20.2	171.0	Detected but not quantified	Less than minimum reporting limit		639.0	Less than minimum reporting limit	Estimated value	1400.0	Estimated value		Less than minimum reporting limit	1940.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit		78.5	720.0	46.6	Less than minimum reporting limit	72.0	Less than minimum reporting limit		Estimated value	72.0	72.0			Missing data	72.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit			720.0	42.2	Estimated value	8/26/13	72.0	72.0		Less than minimum reporting limit	0.0	220.0	Less than minimum reporting limit
1550.0	Less than minimum reporting limit	Less than minimum reporting limit	84.0	Estimated value		Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	0.0	42.0	Less than minimum reporting limit	84.0	Less than minimum reporting limit	84.0	Less than minimum reporting limit	NOAA4	Less than minimum reporting limit	Barnegat Bay	630.0	42.0	42.0	1690.0	Less than minimum reporting limit	70.1	42.0	42.0	84.0	42.0	Missing data	Less than minimum reporting limit	43.4	Less than minimum reporting limit		42.0	42.0	42.0	210.0	75.8	0.0	1400	Less than minimum reporting limit	84.0	42.0	Less than minimum reporting limit		44.1	Less than minimum reporting limit		42.0	42.0	19.2	260.0	Less than minimum reporting limit		84.0	420.0	29	Estimated value	99.7	Less than minimum reporting limit	Less than minimum reporting limit	210.0	42.0	Less than minimum reporting limit	Less than minimum reporting limit	42.0	455.0	Less than minimum reporting limit	42.0	22.5	338.0	Detected but not quantified	Less than minimum reporting limit		314.0	Less than minimum reporting limit	Less than minimum reporting limit	840.0	Estimated value		Less than minimum reporting limit	3540.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit		44.2	420.0	32.4	Less than minimum reporting limit	42.0	Detected but not quantified		Detected but not quantified	42.0	42.0			Missing data	42.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Estimated value			193.0	106.0	Estimated value	8/26/13	42.0	42.0		Less than minimum reporting limit	0.0	130.0	Less than minimum reporting limit
770.0	Less than minimum reporting limit	Less than minimum reporting limit	150.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	77.0	77.0	Less than minimum reporting limit	150.0	Less than minimum reporting limit	150.0	Less than minimum reporting limit	NOAA10	Less than minimum reporting limit	Barnegat Bay	1100.0	77.0	77.0	734.0	Less than minimum reporting limit	28.7	77.0	77.0	150.0	77.0	Less than minimum reporting limit	Less than minimum reporting limit	17.9	Less than minimum reporting limit		77.0	77.0	77.0	380.0	56.9	77.0	1230	Less than minimum reporting limit	150.0	77.0	Less than minimum reporting limit		32.3	Less than minimum reporting limit	Detected but not quantified	77.0	77.0	77.0	88.8	Less than minimum reporting limit		150.0	770.0	30	Less than minimum reporting limit	26.0	Less than minimum reporting limit	Less than minimum reporting limit	380.0	77.0	Less than minimum reporting limit	Less than minimum reporting limit	77.0	89.7	Less than minimum reporting limit	77.0	0.0	100.0	Less than minimum reporting limit	Less than minimum reporting limit		160.0	Less than minimum reporting limit	Less than minimum reporting limit	1500.0	Less than minimum reporting limit	150.0	Less than minimum reporting limit	538.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Detected but not quantified	230.0	770.0	0.0	Less than minimum reporting limit	77.0	Less than minimum reporting limit		Less than minimum reporting limit	77.0	77.0			Less than minimum reporting limit	77.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		230.0	770.0	45.1	Less than minimum reporting limit	9/13/13	77.0	77.0		Less than minimum reporting limit	77.0	230.0	Less than minimum reporting limit
420.0	Less than minimum reporting limit	Less than minimum reporting limit	84.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	0.0	42.0	Less than minimum reporting limit	84.0	Less than minimum reporting limit	84.0	Less than minimum reporting limit	NAV1	Less than minimum reporting limit	Northeast New Jersey Shore	630.0	42.0	42.0	734.0	Less than minimum reporting limit	15.6	42.0	42.0	84.0	42.0	Less than minimum reporting limit	Less than minimum reporting limit	0.0	Less than minimum reporting limit	Detected but not quantified	42.0	42.0	42.0	210.0	210.0	42.0	1400	Less than minimum reporting limit	84.0	42.0	Less than minimum reporting limit	Less than minimum reporting limit	0.0	Less than minimum reporting limit	Detected but not quantified	42.0	42.0	42.0	73.0	Less than minimum reporting limit		84.0	420.0	31	Less than minimum reporting limit	37.8	Less than minimum reporting limit	Less than minimum reporting limit	210.0	42.0	Less than minimum reporting limit	Less than minimum reporting limit	42.0	133.0	Less than minimum reporting limit	42.0	0.0	58.5	Detected but not quantified	Less than minimum reporting limit		67.0	Less than minimum reporting limit	Less than minimum reporting limit	840.0	Less than minimum reporting limit	84.0	Less than minimum reporting limit	545.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Detected but not quantified	130.0	420.0	0.0	Less than minimum reporting limit	42.0	Less than minimum reporting limit		Detected but not quantified	42.0	42.0			Less than minimum reporting limit	42.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		130.0	420.0	24.5	Less than minimum reporting limit	8/6/13	42.0	42.0	Detected but not quantified	Less than minimum reporting limit	0.0	130.0	Less than minimum reporting limit
904.0	Less than minimum reporting limit	Less than minimum reporting limit	140.0	Estimated value		Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	0.0	71.0	Less than minimum reporting limit	140.0	Less than minimum reporting limit	140.0	Less than minimum reporting limit	NAV2	Less than minimum reporting limit	Northeast New Jersey Shore	584.0	71.0	71.0	1940.0	Less than minimum reporting limit	330.0	71.0	71.0	140.0	71.0	Less than minimum reporting limit	Less than minimum reporting limit	256.0	Less than minimum reporting limit		71.0	128.0	71.0	360.0	432.0	79.8	1100	Less than minimum reporting limit	140.0	71.0	Less than minimum reporting limit		195.0			71.0	71.0	296.0	1700.0	Less than minimum reporting limit		140.0	710.0	32	Estimated value	528.0	Less than minimum reporting limit	Less than minimum reporting limit	360.0	71.0	Less than minimum reporting limit	Less than minimum reporting limit	71.0	706.0	Less than minimum reporting limit	71.0	95.1	1740.0	Estimated value	Less than minimum reporting limit		678.0		Estimated value	1400.0	Estimated value	140.0	Less than minimum reporting limit	2740.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit		28.9	710.0	48.6	Less than minimum reporting limit	71.0			Detected but not quantified	159.0	71.0			Less than minimum reporting limit	71.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Estimated value	210.0	710.0	952.0	Estimated value	8/6/13	71.0	71.0		Less than minimum reporting limit	39.7	210.0	Less than minimum reporting limit
960.0	Less than minimum reporting limit	Less than minimum reporting limit	290.0	Estimated value		Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	31.5	150.0	Less than minimum reporting limit	290.0	Less than minimum reporting limit	290.0	Less than minimum reporting limit	NOAA1	Less than minimum reporting limit	Northeast New Jersey Shore	823.0	150.0	150.0	3300.0	Less than minimum reporting limit	180.0	150.0	150.0	290.0	150.0	Less than minimum reporting limit	Less than minimum reporting limit	115.0	Less than minimum reporting limit		150.0	28.3	150.0	730.0	265.0	32.4	1200	Less than minimum reporting limit	290.0	150.0	Less than minimum reporting limit		292.0			150.0	150.0	125.0	530.0	Less than minimum reporting limit		290.0	1500.0	33	Less than minimum reporting limit	198.0	Less than minimum reporting limit	Less than minimum reporting limit	730.0	150.0	Less than minimum reporting limit	Less than minimum reporting limit	150.0	884.0	Less than minimum reporting limit	150.0	42.2	516.0	Estimated value	Less than minimum reporting limit		240.0	Estimated value	Estimated value	2900.0	Less than minimum reporting limit	290.0	Less than minimum reporting limit	1810.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit		440.0	1500.0	48.4	Less than minimum reporting limit	150.0			Estimated value	68.8	150.0			Less than minimum reporting limit	150.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		440.0	1500.0	224.0	Estimated value	8/6/13	150.0	150.0		Less than minimum reporting limit	19.0	440.0	Less than minimum reporting limit
410.0	Less than minimum reporting limit	Less than minimum reporting limit	82.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	41.0	41.0	Less than minimum reporting limit	82.0	Less than minimum reporting limit	82.0	Less than minimum reporting limit	NOAA2	Less than minimum reporting limit	Northeast New Jersey Shore	620.0	41.0	41.0	210.0	Less than minimum reporting limit	41.0	41.0	41.0	82.0	41.0	Missing data	Less than minimum reporting limit	0.0	Less than minimum reporting limit	Less than minimum reporting limit	41.0	41.0	41.0	210.0	210.0	41.0	1300	Less than minimum reporting limit	82.0	41.0	Less than minimum reporting limit	Less than minimum reporting limit	41.0	Less than minimum reporting limit	Less than minimum reporting limit	41.0	41.0	41.0	10.4	Less than minimum reporting limit		82.0	410.0	34	Less than minimum reporting limit	4.3	Less than minimum reporting limit	Less than minimum reporting limit	210.0	41.0	Less than minimum reporting limit	Less than minimum reporting limit	41.0	26.9	Less than minimum reporting limit	41.0	41.0	10.2	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	57.0	Less than minimum reporting limit	Less than minimum reporting limit	820.0	Less than minimum reporting limit	82.0	Less than minimum reporting limit	410.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Detected but not quantified	120.0	410.0	0.0	Less than minimum reporting limit	41.0	Less than minimum reporting limit		Less than minimum reporting limit	41.0	41.0	Less than minimum reporting limit		Less than minimum reporting limit	41.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit			410.0	41.0	Less than minimum reporting limit	8/15/13	41.0	41.0	Detected but not quantified	Less than minimum reporting limit	41.0	120.0	Less than minimum reporting limit
414.0	Less than minimum reporting limit	Less than minimum reporting limit	220.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	0.0	110.0	Less than minimum reporting limit	220.0	Less than minimum reporting limit	220.0	Less than minimum reporting limit	NOAA21	Less than minimum reporting limit	Northeast New Jersey Shore	1600.0	110.0	110.0	1770.0	Less than minimum reporting limit	37.8	110.0	110.0	220.0	110.0	Missing data	Less than minimum reporting limit	21.6	Less than minimum reporting limit	Detected but not quantified	110.0	110.0	110.0	550.0	28.2	110.0	1500	Less than minimum reporting limit	220.0	110.0	Less than minimum reporting limit		0.0	Less than minimum reporting limit	Detected but not quantified	110.0	110.0	110.0	130.0	Less than minimum reporting limit		220.0	1100.0	34	Less than minimum reporting limit	68.2	Less than minimum reporting limit	Less than minimum reporting limit	550.0	110.0	Less than minimum reporting limit	Less than minimum reporting limit	110.0	203.0	Less than minimum reporting limit	110.0	0.0	133.0	Less than minimum reporting limit	Less than minimum reporting limit		240.0	Less than minimum reporting limit	Less than minimum reporting limit	2200.0	Less than minimum reporting limit		Less than minimum reporting limit	1170.0	Estimated value	Less than minimum reporting limit	Less than minimum reporting limit		330.0	1100.0	22.4	Less than minimum reporting limit	110.0	Less than minimum reporting limit		Detected but not quantified	110.0	110.0				110.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit			1100.0	36.7	Estimated value	8/15/13	110.0	110.0		Less than minimum reporting limit	110.0	330.0	Less than minimum reporting limit
718.0	Less than minimum reporting limit	Less than minimum reporting limit	200.0	Estimated value		Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	32.4	98.0	Less than minimum reporting limit	200.0	Less than minimum reporting limit	200.0	Less than minimum reporting limit	SHARK1	Less than minimum reporting limit	Northeast New Jersey Shore	1500.0	98.0	98.0	2370.0	Less than minimum reporting limit	138.0	98.0	98.0	200.0	98.0	Less than minimum reporting limit	Less than minimum reporting limit	167.0	Less than minimum reporting limit		98.0	38.7	98.0	490.0	544.0	40.3	1315	Less than minimum reporting limit	200.0	98.0	Less than minimum reporting limit		147.0			98.0	98.0	180.0	540.0	Less than minimum reporting limit		200.0	980.0	35	Less than minimum reporting limit	287.0	Less than minimum reporting limit	Less than minimum reporting limit	490.0	98.0	Less than minimum reporting limit	Less than minimum reporting limit	98.0	715.0	Less than minimum reporting limit	98.0	40.6	562.0	Estimated value	Less than minimum reporting limit		737.0	Estimated value	Less than minimum reporting limit	2000.0	Estimated value	200.0	Less than minimum reporting limit	1400.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		290.0	980.0	44.7	Less than minimum reporting limit	98.0			Estimated value	91.3	98.0			Less than minimum reporting limit	98.0	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit	Less than minimum reporting limit		290.0	980.0	233.0	Estimated value	8/15/13	98.0	98.0		Less than minimum reporting limit	18.8	290.0	Less than minimum reporting limit
